AAR;UHELDSART;UHELDKOMMUNE;X_KOORDINAT;Y_KOORDINAT;UHELDSDATO;TIME
2022;Exuh;København;721195,001;6174676,001;29-01-2022;3
2022;Exuh;København;720115,881;6178032,31;30-01-2022;15
2022;Anmsuh;København;722762,001;6176987,001;31-01-2022;16
2022;Anmsuh;København;722716,087;6178093,823;31-01-2022;21
2022;Anmsuh;København;721380,001;6173897,001;01-02-2022;16
2022;Anmsuh;København;725608,001;6179334,001;02-02-2022;6
2022;Anmsuh;København;723821,348;6178721,291;02-02-2022;7
2022;Anmsuh;København;722764,001;6178521,001;02-02-2022;12
2022;Anmsuh;København;720286,001;6174596,001;02-02-2022;14
2022;Anmsuh;København;721915,001;6173020,001;02-02-2022;16
2022;Pskduh;København;720269,001;6177886,001;02-02-2022;7
2022;Mskduh;København;720293,001;6178665,001;28-01-2022;19
2022;Mskduh;København;720071,42;6176912,531;30-01-2022;13
2022;Mskduh;København;722291,675;6169720,722;01-02-2022;9
2022;Anmsuh;København;720066,364;6178795,09;02-02-2022;22
2022;Anmsuh;København;724601,001;6180723,001;03-02-2022;23
2022;Pskduh;København;724499,648;6177479,166;06-02-2022;18
2022;Pskduh;København;721595,001;6179644,001;09-02-2022;17
2022;Pskduh;København;726225,001;6173542,001;10-02-2022;19
2022;Anmsuh;København;724695,001;6180245,001;04-01-2022;19
2022;Anmsuh;København;723973,001;6175178,001;04-02-2022;9
2022;Anmsuh;København;723682,001;6171526,001;04-02-2022;13
2022;Anmsuh;København;723238,154;6178149,165;21-01-2022;17
2022;Exuh;København;723360,894;6180580,142;04-02-2022;16
2022;Exuh;København;725280,971;6176963,53;04-02-2022;4
2022;Exuh;København;724215,428;6175933,552;04-02-2022;18
2022;Anmsuh;København;726353,001;6174717,001;04-02-2022;19
2022;Anmsuh;København;723239,132;6178150,895;04-02-2022;19
2022;Exuh;København;726200,821;6174964,16;05-02-2022;18
2022;Anmsuh;København;719371,511;6173112,739;05-02-2022;19
2022;Anmsuh;København;721663,001;6177968,001;05-02-2022;21
2022;Anmsuh;København;724679,5;6176745,901;06-02-2022;5
2022;Exuh;København;721090,001;6174191,001;02-02-2022;20
2022;Anmsuh;København;725042,001;6179207,001;04-02-2022;20
2022;Exuh;København;722851,841;6177545,16;30-01-2022;11
2022;Exuh;København;723047,001;6178143,001;16-01-2022;6
2022;Exuh;København;725043,451;6176264,59;25-01-2022;15
2022;Anmsuh;København;722723,001;6180133,001;07-02-2022;9
2022;Anmsuh;København;718371,001;6180048,001;29-01-2022;1
2022;Exuh;København;722266,001;6174140,001;07-02-2022;9
2022;Anmsuh;København;718851,944;6179117,745;07-02-2022;10
2022;Exuh;København;722467,329;6170032,153;07-02-2022;9
2022;Anmsuh;København;724288,001;6175739,001;07-02-2022;14
2022;Exuh;København;723085,191;6174838,16;07-02-2022;14
2022;Exuh;København;725984,051;6173946,96;07-02-2022;17
2022;Anmsuh;København;724334,85;6175758,246;07-02-2022;22
2022;Anmsuh;København;724154,001;6175525,001;01-02-2022;23
2022;Anmsuh;København;725834,001;6174928,001;08-02-2022;13
2022;Anmsuh;København;724872,001;6179529,001;02-02-2022;16
2022;Exuh;København;724201,001;6176136,001;09-02-2022;14
2022;Anmsuh;København;722439,001;6178049,001;09-02-2022;15
2022;Exuh;København;724224,906;6177663,92;09-02-2022;15
2022;Anmsuh;København;722621,001;6177709,001;10-02-2022;8
2022;Anmsuh;København;724029,001;6178146,001;13-01-2022;10
2022;Anmsuh;København;723877,001;6175885,001;10-02-2022;14
2022;Exuh;København;725532,001;6175862,001;07-02-2022;7
2022;Exuh;København;725633,531;6178703,47;04-02-2022;19
2022;Exuh;København;724766,976;6170483,159;07-02-2022;9
2022;Anmsuh;København;724639,001;6174927,001;09-02-2022;18
2022;Mskduh;København;726211,001;6173541,001;04-02-2022;12
2022;Mskduh;København;724461,001;6177421,001;04-02-2022;14
2022;Mskduh;København;719240,001;6175639,001;05-02-2022;6
2022;Mskduh;København;720075,22;6176923,843;07-02-2022;18
2022;Mskduh;København;720629,001;6172979,001;07-02-2022;14
2022;Mskduh;København;722586,001;6177014,001;08-02-2022;17
2022;Mskduh;København;726383,001;6174139,001;09-02-2022;0
2022;Mskduh;København;726157,001;6175061,001;10-02-2022;9
2022;Mskduh;København;722203,152;6169481,565;10-02-2022;14
2022;Pskduh;København;723638,001;6175257,001;13-01-2022;16
2022;Pskduh;København;724141,001;6176063,001;11-02-2022;21
2022;Pskduh;København;719133,001;6180090,001;14-02-2022;22
2022;Pskduh;København;725856,001;6175436,001;15-02-2022;15
2022;Exuh;København;719531,171;6174784,65;08-02-2022;19
2022;Anmsuh;København;719612,109;6176428,716;11-02-2022;7
2022;Anmsuh;København;722696,001;6174558,001;31-01-2022;22
2022;Anmsuh;København;720924,239;6173342,05;11-02-2022;8
2022;Anmsuh;København;723813,919;6178160,419;10-02-2022;10
2022;Anmsuh;København;722640,232;6173831,113;03-02-2022;9
2022;Anmsuh;København;723047,001;6174770,001;11-02-2022;12
2022;Exuh;København;723023,001;6177769,001;04-02-2022;11
2022;Anmsuh;København;724359,001;6175297,001;03-02-2022;19
2022;Anmsuh;København;724652,168;6177300,582;11-02-2022;20
2022;Anmsuh;København;723657,001;6177611,001;11-02-2022;16
2022;Anmsuh;København;724591,001;6176077,001;11-02-2022;1
2022;Anmsuh;København;724460,355;6176564,715;12-02-2022;0
2022;Anmsuh;København;724344,578;6176360,883;12-02-2022;14
2022;Exuh;København;726507,581;6173240,69;05-02-2022;13
2022;Exuh;København;725097,001;6178318,001;07-02-2022;11
2022;Exuh;København;719459,001;6173486,001;05-02-2022;17
2022;Exuh;København;727203,011;6173548,66;12-02-2022;19
2022;Exuh;København;724078,25;6176006,467;07-02-2022;6
2022;Exuh;København;722858,136;6178804,424;07-02-2022;20
2022;Anmsuh;København;723599,581;6179884,54;08-02-2022;22
2022;Anmsuh;København;726894,125;6173904,023;01-02-2022;19
2022;Exuh;København;722121,001;6180583,001;27-01-2022;14
2022;Exuh;København;722729,85;6178919,744;09-02-2022;18
2022;Exuh;København;719875,634;6180055,511;13-02-2022;17
2022;Exuh;København;723543,001;6175113,001;05-02-2022;14
2022;Exuh;København;723786,621;6175760,5;05-02-2022;12
2022;Anmsuh;København;725472,001;6174513,001;14-02-2022;6
2022;Exuh;København;725227,178;6170205,737;13-02-2022;18
2022;Exuh;København;725119,182;6180258,424;08-02-2022;7
2022;Anmsuh;København;725386,001;6177861,001;09-01-2022;7
2022;Anmsuh;København;720365,601;6177431,816;14-02-2022;12
2022;Anmsuh;København;723730,905;6178081,748;14-02-2022;13
2022;Anmsuh;København;722896,737;6176806,378;14-02-2022;15
2022;Exuh;København;726231,983;6175101,667;15-02-2022;14
2022;Exuh;København;726792,718;6173812,382;15-02-2022;15
2022;Anmsuh;København;729103,647;6173031,182;16-02-2022;8
2022;Anmsuh;København;722976,001;6176762,001;16-02-2022;7
2022;Anmsuh;København;724422,369;6176507,741;16-02-2022;11
2022;Anmsuh;København;725741,001;6176102,001;16-02-2022;11
2022;Anmsuh;København;724519,389;6179423,919;15-02-2022;18
2022;Anmsuh;København;727595,074;6172099,326;16-02-2022;19
2022;Mskduh;København;722136,001;6172745,001;17-02-2022;19
2022;Pskduh;København;718326,88;6179392,593;14-02-2022;13
2022;Pskduh;København;723033,001;6177775,001;18-02-2022;10
2022;Pskduh;København;725365,001;6175981,001;24-02-2022;19
2022;Anmsuh;København;725024,001;6174801,001;07-02-2022;16
2022;Exuh;København;725839,001;6176428,001;18-02-2022;15
2022;Exuh;København;721799,231;6178000,67;18-02-2022;16
2022;Anmsuh;København;722737,014;6177272,869;19-02-2022;0
2022;Anmsuh;København;724660,001;6175935,001;19-02-2022;4
2022;Anmsuh;København;724843,001;6176507,001;07-02-2022;18
2022;Anmsuh;København;724010,001;6174344,001;19-02-2022;11
2022;Exuh;København;724039,561;6176246,8;02-02-2022;12
2022;Exuh;København;719017,711;6177408,12;14-02-2022;10
2022;Exuh;København;724210,621;6175730,63;16-02-2022;18
2022;Exuh;København;722055,461;6180228,87;17-02-2022;18
2022;Anmsuh;København;720525,856;6178931,862;20-02-2022;15
2022;Anmsuh;København;727409,001;6176270,001;11-02-2022;13
2022;Anmsuh;København;720580,001;6177692,001;20-02-2022;22
2022;Exuh;København;724466,001;6176677,001;21-02-2022;9
2022;Exuh;København;722851,841;6177545,16;21-02-2022;17
2022;Exuh;København;721619,321;6179286,06;10-02-2022;11
2022;Anmsuh;København;718947,619;6179058,518;22-02-2022;21
2022;Anmsuh;København;719594,001;6177542,001;23-02-2022;6
2022;Anmsuh;København;723765,001;6175631,001;23-02-2022;15
2022;Anmsuh;København;724333,717;6175759,912;23-02-2022;16
2022;Anmsuh;København;719222,001;6175659,001;24-02-2022;16
2022;Mskduh;København;720098,022;6172862,358;21-02-2022;7
2022;Mskduh;København;724836,001;6178385,001;21-02-2022;9
2022;Mskduh;København;720794,001;6177492,001;25-02-2022;2
2022;Pskduh;København;725278,867;6177394,409;23-02-2022;8
2022;Pskduh;København;721067,001;6178709,001;22-02-2022;8
2022;Anmsuh;København;720047,029;6172874,836;24-02-2022;22
2022;Pskduh;København;724379,663;6177532,975;26-02-2022;0
2022;Pskduh;København;724859,001;6178337,001;03-03-2022;10
2022;Exuh;København;726708,14;6175092,771;10-02-2022;15
2022;Exuh;København;726504,001;6174352,001;14-02-2022;8
2022;Anmsuh;København;723681,411;6176418,678;25-02-2022;14
2022;Anmsuh;København;724520,301;6175069,755;25-02-2022;15
2022;Anmsuh;København;723611,987;6180305,137;26-02-2022;14
2022;Anmsuh;København;724627,001;6176155,001;19-02-2022;23
2022;Exuh;København;720167,223;6173413,001;18-02-2022;18
2022;Exuh;København;722958,001;6175230,001;21-02-2022;18
2022;Exuh;København;720498,371;6178294,18;26-02-2022;22
2022;Anmsuh;København;728540,723;6174253,046;27-02-2022;4
2022;Anmsuh;København;725374,539;6171052,091;10-02-2022;15
2022;Anmsuh;København;718983,428;6176368,574;27-02-2022;14
2022;Exuh;København;723766,001;6175059,001;22-02-2022;15
2022;Exuh;København;725155,421;6178299,46;22-02-2022;19
2022;Exuh;København;726559,051;6174677,03;23-02-2022;11
2022;Pskduh;København;719604,001;6174452,001;07-02-2022;7
2022;Anmsuh;København;727185,001;6173463,001;22-02-2022;0
2022;Anmsuh;København;724144,001;6177751,001;27-02-2022;15
2022;Exuh;København;720359,641;6172890,2;21-02-2022;0
2022;Exuh;København;723212,541;6175328,22;27-02-2022;8
2022;Anmsuh;København;718791,001;6177191,001;28-02-2022;8
2022;Exuh;København;723747,391;6177109,25;28-02-2022;16
2022;Anmsuh;København;724457,171;6176560,833;28-02-2022;20
2022;Anmsuh;København;724041,001;6178985,001;01-03-2022;8
2022;Anmsuh;København;724211,503;6175939,299;02-03-2022;7
2022;Exuh;København;724562,789;6175574,821;02-03-2022;7
2022;Exuh;København;720957,015;6173427,488;02-03-2022;8
2022;Exuh;København;724169,001;6174277,001;02-03-2022;15
2022;Exuh;København;723250,044;6174414,501;02-03-2022;17
2022;Exuh;København;723411,001;6170683,001;03-03-2022;10
2022;Mskduh;København;723714,001;6171571,001;13-02-2022;21
2022;Mskduh;København;720447,001;6178113,001;25-02-2022;20
2022;Mskduh;København;723106,907;6170539,004;27-02-2022;10
2022;Mskduh;København;724787,618;6177891,498;28-02-2022;14
2022;Mskduh;København;720918,001;6172550,001;01-03-2022;20
2022;Mskduh;København;723586,001;6176662,001;02-03-2022;15
2022;Anmsuh;København;724480,534;6175405,27;26-02-2022;2
2022;Anmsuh;København;724636,001;6175861,001;27-02-2022;1
2022;Anmsuh;København;718946,001;6179495,001;27-02-2022;23
2022;Pskduh;København;724451,439;6176553,845;26-02-2022;1
2022;Pskduh;København;725887,001;6176549,001;05-03-2022;14
2022;Pskduh;København;726010,001;6172132,001;05-03-2022;18
2022;Pskduh;København;724500,292;6177479,941;06-03-2022;4
2022;Pskduh;København;725307,001;6177763,001;07-03-2022;9
2022;Exuh;København;721687,711;6179454,41;23-02-2022;11
2022;Anmsuh;København;722526,001;6174412,001;04-03-2022;8
2022;Anmsuh;København;720765,599;6179003,312;04-03-2022;10
2022;Anmsuh;København;724332,016;6175762,409;05-03-2022;3
2022;Mskduh;København;724202,485;6175114,971;05-03-2022;8
2022;Exuh;København;718804,161;6176082,21;04-03-2022;8
2022;Anmsuh;København;720832,001;6177282,001;23-02-2022;20
2022;Anmsuh;København;722994,001;6177712,001;05-03-2022;15
2022;Anmsuh;København;722724,544;6176923,774;05-03-2022;19
2022;Anmsuh;København;722375,639;6179293,29;05-03-2022;21
2022;Anmsuh;København;721414,583;6177938,41;06-03-2022;12
2022;Anmsuh;København;725536,495;6176433,661;04-03-2022;17
2022;Anmsuh;København;719480,076;6174915,366;06-03-2022;20
2022;Exuh;København;724461,001;6175982,001;07-03-2022;9
2022;Anmsuh;København;720946,24;6173399,372;07-03-2022;16
2022;Anmsuh;København;724604,001;6175520,001;07-03-2022;18
2022;Exuh;København;721150,001;6174228,001;07-03-2022;16
2022;Exuh;København;721594,615;6177941,49;07-03-2022;15
2022;Anmsuh;København;722989,001;6178220,001;07-03-2022;22
2022;Anmsuh;København;724716,461;6179964,433;08-03-2022;10
2022;Exuh;København;723501,981;6177430,5;08-03-2022;11
2022;Anmsuh;København;719223,001;6178089,001;08-03-2022;11
2022;Anmsuh;København;720560,883;6172442,713;08-03-2022;16
2022;Anmsuh;København;719337,405;6178842,089;22-02-2022;14
2022;Anmsuh;København;720137,001;6178739,001;16-02-2022;10
2022;Anmsuh;København;720770,372;6179004,75;09-03-2022;16
2022;Exuh;København;726914,001;6174429,001;10-03-2022;8
2022;Anmsuh;København;720267,12;6177435,898;10-03-2022;9
2022;Anmsuh;København;727522,001;6176061,001;10-03-2022;20
2022;Pskduh;København;722094,627;6178527,714;07-03-2022;16
2022;Mskduh;København;724003,001;6175554,001;04-03-2022;8
2022;Mskduh;København;722918,001;6172369,001;04-03-2022;16
2022;Mskduh;København;724927,24;6171329,737;04-03-2022;18
2022;Mskduh;København;722062,987;6172844,08;05-03-2022;2
2022;Mskduh;København;723700,982;6179540,435;06-03-2022;9
2022;Mskduh;København;724114,889;6176416,612;07-03-2022;9
2022;Mskduh;København;723303,201;6171111,66;08-03-2022;8
2022;Mskduh;København;722436,001;6178619,001;09-03-2022;0
2022;Mskduh;København;725638,591;6172653,762;09-03-2022;15
2022;Mskduh;København;721952,001;6178805,001;09-03-2022;16
2022;Mskduh;København;723623,001;6171466,001;10-03-2022;6
2022;Mskduh;København;722636,001;6178450,001;07-03-2022;7
2022;Pskduh;København;723281,001;6178811,001;07-03-2022;17
2022;Anmsuh;København;718324,001;6179033,001;04-03-2022;21
2022;Anmsuh;København;724339,823;6175752;08-03-2022;22
2022;Pskduh;København;722210,001;6178310,001;13-03-2022;13
2022;Pskduh;København;720382,322;6171995,079;05-02-2022;12
2022;Pskduh;København;721883,163;6174232,8;17-03-2022;13
2022;Pskduh;København;719236,001;6176275,001;17-03-2022;20
2022;Exuh;København;725370,001;6175969,001;01-02-2022;18
2022;Anmsuh;København;727859,001;6174355,001;02-02-2022;16
2022;Anmsuh;København;725998,001;6180095,001;10-03-2022;10
2022;Exuh;København;724506,001;6176355,001;22-02-2022;18
2022;Exuh;København;722611,001;6180370,001;11-03-2022;6
2022;Exuh;København;719904,921;6177771,17;11-03-2022;7
2022;Anmsuh;København;724875,001;6179507,001;28-02-2022;17
2022;Exuh;København;723326,711;6180479,54;28-02-2022;21
2022;Anmsuh;København;723833,001;6176331,001;11-03-2022;15
2022;Exuh;København;722381,806;6179284,245;28-02-2022;14
2022;Anmsuh;København;722592,001;6179753,001;11-03-2022;14
2022;Exuh;København;723816,001;6176326,001;11-03-2022;16
2022;Exuh;København;726796,341;6172551,7;11-03-2022;18
2022;Anmsuh;København;723020,882;6178658,795;11-03-2022;16
2022;Anmsuh;København;725018,001;6176507,001;12-03-2022;2
2022;Exuh;København;726333,001;6174244,001;12-03-2022;0
2022;Exuh;København;720953,991;6179295,38;28-02-2022;0
2022;Exuh;København;719068,931;6178890,76;02-03-2022;16
2022;Exuh;København;719552,611;6174968,5;21-02-2022;16
2022;Exuh;København;726658,851;6174443,62;28-02-2022;17
2022;Anmsuh;København;723888,001;6175883,001;01-03-2022;10
2022;Anmsuh;København;719203,001;6174756,001;03-03-2022;12
2022;Exuh;København;721359,001;6178999,001;02-03-2022;12
2022;Exuh;København;722434,661;6174364,11;23-02-2022;16
2022;Exuh;København;723720,323;6179488,382;02-03-2022;9
2022;Exuh;København;722670,491;6174206,9;03-03-2022;15
2022;Exuh;København;721938,831;6178573,56;07-03-2022;14
2022;Exuh;København;724134,421;6178009,13;07-03-2022;13
2022;Exuh;København;726026,661;6179454,63;01-03-2022;6
2022;Anmsuh;København;723996,001;6174281,001;04-03-2022;20
2022;Anmsuh;København;724622,126;6179465,024;13-03-2022;23
2022;Exuh;København;721645,001;6178546,001;02-03-2022;10
2022;Anmsuh;København;725048,588;6175187,5;14-03-2022;9
2022;Exuh;København;720239,731;6172493,54;04-03-2022;17
2022;Anmsuh;København;722042,001;6180146,001;23-02-2022;9
2022;Exuh;København;718568,001;6178678,001;15-03-2022;0
2022;Exuh;København;724413,181;6177308,32;08-02-2022;16
2022;Exuh;København;726716,001;6174041,001;15-03-2022;13
2022;Anmsuh;København;718082,001;6179682,001;15-03-2022;11
2022;Anmsuh;København;724611,001;6175512,001;11-03-2022;22
2022;Exuh;København;722359,001;6178026,001;14-03-2022;14
2022;Anmsuh;København;724000,001;6174281,001;06-03-2022;12
2022;Exuh;København;723511,681;6172847,92;13-03-2022;18
2022;Exuh;København;721289,761;6174060,82;14-03-2022;13
2022;Exuh;København;721512,781;6179340,44;11-03-2022;14
2022;Exuh;København;719551,069;6176325,666;12-03-2022;16
2022;Exuh;København;725090,972;6176579,577;07-03-2022;17
2022;Exuh;København;723815,001;6178017,001;11-03-2022;14
2022;Exuh;København;719635,001;6176912,001;14-03-2022;18
2022;Exuh;København;719363,815;6175220,297;11-03-2022;13
2022;Exuh;København;724592,001;6175538,001;17-03-2022;15
2022;Exuh;København;721247,001;6178999,001;15-03-2022;7
2022;Anmsuh;København;724902,51;6175304,138;02-03-2022;7
2022;Exuh;København;719596,726;6178791,275;05-03-2022;14
