,ix,iy,count,center_x,center_y
87,7,11,9,720066.001,6173313.565
453,24,11,9,726866.001,6173313.565
112,8,23,8,720466.001,6178113.565
323,18,24,8,724466.001,6178513.565
137,10,12,8,721266.001,6173713.565
506,28,14,8,728466.001,6174513.565
379,20,25,8,725266.001,6178913.565
263,16,12,8,723666.001,6173713.565
79,6,24,8,719666.001,6178513.565
424,22,19,8,726066.001,6176513.565
239,15,12,8,723266.001,6173713.565
393,21,12,8,725666.001,6173713.565
350,19,22,8,724866.001,6177713.565
232,15,5,8,723266.001,6170913.565
33,4,18,7,718866.001,6176113.565
76,6,21,7,719666.001,6177313.565
237,15,10,7,723266.001,6172913.565
236,15,9,7,723266.001,6172513.565
83,6,29,7,719666.001,6180513.565
85,7,9,7,720066.001,6172513.565
285,17,8,7,724066.001,6172113.565
341,19,13,7,724866.001,6174113.565
102,8,8,7,720466.001,6172113.565
231,15,4,7,723266.001,6170513.565
230,14,30,7,722866.001,6180913.565
118,9,0,7,720866.001,6168913.565
275,16,24,7,723666.001,6178513.565
425,22,20,7,726066.001,6176913.565
228,14,28,7,722866.001,6180113.565
25,3,27,7,718466.001,6179713.565
150,11,0,7,721666.001,6168913.565
484,26,9,7,727666.001,6172513.565
336,19,5,7,724866.001,6170913.565
499,27,14,7,728066.001,6174513.565
157,11,14,7,721666.001,6174513.565
310,18,11,7,724466.001,6173313.565
50,5,14,7,719266.001,6174513.565
48,5,12,7,719266.001,6173713.565
475,25,16,7,727266.001,6175313.565
342,19,14,6,724866.001,6174513.565
328,18,29,6,724466.001,6180513.565
324,18,25,6,724466.001,6178913.565
512,30,10,6,729266.001,6172913.565
283,17,4,6,724066.001,6170513.565
212,14,8,6,722866.001,6172113.565
23,3,25,6,718466.001,6178913.565
466,25,7,6,727266.001,6171713.565
72,6,16,6,719666.001,6175313.565
446,23,19,6,726466.001,6176513.565
445,23,18,6,726466.001,6176113.565
105,8,11,6,720466.001,6173313.565
437,23,10,6,726466.001,6172913.565
282,16,32,6,723666.001,6181713.565
415,22,10,6,726066.001,6172913.565
155,11,12,6,721666.001,6173713.565
403,21,23,6,725666.001,6178113.565
208,14,4,6,722866.001,6170513.565
436,23,9,6,726466.001,6172513.565
257,16,4,6,723666.001,6170513.565
262,16,10,6,723666.001,6172913.565
258,16,6,6,723666.001,6171313.565
253,15,27,6,723266.001,6179713.565
378,20,24,5,725266.001,6178513.565
500,27,15,5,728066.001,6174913.565
22,3,24,5,718466.001,6178513.565
339,19,8,5,724866.001,6172113.565
26,3,28,5,718466.001,6180113.565
478,25,19,5,727266.001,6176513.565
55,5,19,5,719266.001,6176513.565
463,24,21,5,726866.001,6177313.565
75,6,20,5,719666.001,6176913.565
100,7,28,5,720066.001,6180113.565
358,19,30,5,724866.001,6180913.565
381,20,27,5,725266.001,6179713.565
149,10,31,5,721266.001,6181313.565
384,21,2,5,725666.001,6169713.565
361,20,3,5,725266.001,6170113.565
312,18,13,5,724466.001,6174113.565
184,12,30,5,722066.001,6180913.565
382,20,28,5,725266.001,6180113.565
303,17,31,5,724066.001,6181313.565
