,center_x,center_y,LON,LAT
50,724466.001,6174913.565,12.569382383956611,55.668061699387074
51,720866.001,6173313.565,12.510971673972346,55.65536175407462
52,724866.001,6175713.565,12.576384338517757,55.67505109126804
53,722066.001,6179713.565,12.535186915948914,55.71221236121355
54,725266.001,6176913.565,12.58371725080538,55.68562717412161
55,723266.001,6180513.565,12.55490153604034,55.71883601450939
56,722466.001,6177313.565,12.53959290065085,55.690505357371016
57,722866.001,6173313.565,12.542696613018252,55.65444899328907
58,720466.001,6172913.565,12.504305646750947,55.65195586744321
59,722066.001,6178913.565,12.534538384383081,55.705037748173275
60,722466.001,6174113.565,12.536999411832298,55.661806858921324
61,722866.001,6174513.565,12.54366991809919,55.66521090215654
62,727266.001,6173313.565,12.61248501609663,55.65241209255531
63,724866.001,6179713.565,12.579664618299729,55.71092256770455
64,723666.001,6171713.565,12.554084740758357,55.639732533085095
65,724866.001,6176113.565,12.576712033268844,55.67863825417754
66,718066.001,6179313.565,12.471322621270476,55.71043946882054
67,723266.001,6174913.565,12.550341580918934,55.66861456526431
68,724066.001,6176913.565,12.564668210700678,55.68618237737123
69,722866.001,6174113.565,12.543345409852503,55.661623602568305
70,722466.001,6179313.565,12.54121621197295,55.70844180953076
71,722866.001,6178913.565,12.547244348280161,55.7046709752755
72,723266.001,6178513.565,12.553271325176256,55.70089985857379
73,724866.001,6179313.565,12.579336256819897,55.70733543533036
74,721266.001,6178913.565,12.521832127531077,55.70540320818001
75,727266.001,6174913.565,12.61380833562929,55.666760208579
76,724866.001,6178913.565,12.57900796951259,55.70374829956217
77,723666.001,6178913.565,12.559950018181116,55.70430288955204
78,720066.001,6179713.565,12.503414927431399,55.713123793152924
79,723666.001,6174913.565,12.556688588839972,55.66843060438975
80,724866.001,6180113.565,12.579993053975002,55.71450969668442
81,722866.001,6176913.565,12.54561850661745,55.68673462894792
82,726466.001,6174913.565,12.601115578130281,55.667133701618155
83,725666.001,6175313.565,12.588751226382108,55.671093003995125
84,718466.001,6179313.565,12.477676946461495,55.710259505005865
85,726066.001,6172113.565,12.592466194385015,55.64221019438439
86,724466.001,6176913.565,12.571017964684186,55.68599763757407
87,723666.001,6176913.565,12.558318382941774,55.68636678920473
88,717666.001,6179713.565,12.465286145765294,55.714206675818865
89,722866.001,6174913.565,12.543994499595716,55.66879819837678
90,726466.001,6174113.565,12.600456081251718,55.65995955063304
91,723266.001,6174513.565,12.550016421092437,55.66502729358446
92,719666.001,6174913.565,12.493215222102016,55.67025546286402
93,719266.001,6177313.565,12.488785254055177,55.69196116658235
94,725666.001,6176113.565,12.589408856034456,55.67826723404028
95,721666.001,6179313.565,12.528508941836312,55.708807974952194
96,724866.001,6178113.565,12.578351617323916,55.696574017844924
97,725266.001,6174913.565,12.58207588390792,55.667691483434375
98,720466.001,6179313.565,12.50944748847319,55.7093547610047
99,725266.001,6174513.565,12.581747832772054,55.66410433511004
100,723666.001,6178113.565,12.559297142966908,55.69712845955161
101,718866.001,6178913.565,12.483711609659697,55.70649171020392
102,722866.001,6175313.565,12.54431915436468,55.67238549122873
103,720066.001,6178913.565,12.502772195240563,55.705948936377006
104,723666.001,6175713.565,12.55734028572604,55.675605088449494
105,726066.001,6174513.565,12.594439880156367,55.663732857920294
106,726066.001,6173713.565,12.59378168799495,55.656558650354306
107,724066.001,6177713.565,12.565321801957754,55.69335677833488
108,726866.001,6173713.565,12.606471126463461,55.65618596213619
109,723266.001,6177713.565,12.552619756234872,55.693725372569695
